date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:26	29156/29156	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Nov%202018%2018:51:16%20GMT	http://demo.hot-themes.com/joomla/paradise/media/jui/js/bootstrap.min.js?8ba14361d8bc7355c05fc192c4c37f9d	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/media/jui/js/bootstrap.min0ba0.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:26	6921/6921	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20May%202018%2007:53:02%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/js/sparky-id83-180526075302.js	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/js/sparky-id83-180526075302.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:26	4202/4202	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202015%2009:39:00%20GMT	http://demo.hot-themes.com/joomla/paradise/modules/mod_hot_counters/js/jquery.appear.js	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/modules/mod_hot_counters/js/jquery.appear.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:27	1353/1353	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202015%2009:39:00%20GMT	http://demo.hot-themes.com/joomla/paradise/modules/mod_hot_counters/js/jquery.animateNumber.min.js	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/modules/mod_hot_counters/js/jquery.animateNumber.min.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:27	54980/54980	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202016%2010:16:36%20GMT	http://demo.hot-themes.com/joomla/paradise/modules/mod_hot_swipe_carousel/js/flickity.pkgd.min.js	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/modules/mod_hot_swipe_carousel/js/flickity.pkgd.min.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:27	6854/6854	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202016%2015:08:48%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/js/responsive-nav.min.js	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/js/responsive-nav.min.js	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:28	28420/28420	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:22%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index-2.html	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:28	17069/17069	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:22%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php/about-us	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.php/about-us.html	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:29	19216/19216	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:23%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php/gallery	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.php/gallery.html	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:30	20589/20589	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:23%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php/features/extensions/hot-swipe-carousel	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.php/features/extensions/hot-swipe-carousel.html	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:30	19911/19911	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:24%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php/features/extensions/hot-responsive-lightbox	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.php/features/extensions/hot-responsive-lightbox.html	(from http://demo.hot-themes.com/joomla/paradise/)
